Азербайджанский ударный музыкальный инструмент типа бубна (дэф, дяф, даф).|гавал
Азербайджанский ударный музыкальный инструмент типа бубна (дяф, даф, гавал).|дэф
Азербайджанский ударный музыкальный инструмент типа бубна (дяф, дэф, гавал).|даф
Академик, создатель новых высокоурожайных сортов пшеницы.|Цицин
Академик, учёный в области ж/дорог; нар. артист СССР.|Образцов
Аквариумное водное растение травянистое растение.|рдест
Алжирский писатель, автор трилогии «Алжир».|Диб
Алжирский писатель, роман «Танец короля».|Диб
Американское индейское племя.|инки
Англия, графство.|Дербишир
Англия, графство.|Камбрия
Англия, графство.|Ланкашир
Англия, графство.|Уилтшир
Англия, графство.|Уорикшир
Англия, графство.|Хемпшир
Англия, графство.|Шропшир
Античная одежда.|Стола
Античная одежда.|Туника
Античная одежда.|Хитон
Анхуза, травянистое растение, медонос.|воловик
Арабская буква.|вав
Арабская буква.|дад
Арабская буква.|за
Арабская буква.|нун
Арабская буква.|ра
Арабский писатель, автор повести «Белая».|Идрис
Арабский поэт из Ирака; русскому читателю известны сборники стихов «Ангелы и черти», «Слава детям и оливам», «Солдаты оккупации» (1959).|Баяти
Армянский писатель (роман «Завтра»).|Авакян
Армянский писатель (роман «Завтра»); бакинский комиссар.|Авакян
Артист В. Золотухин как уроженец родного края.|алтаец
Астероид; греческий бог.|Эрос
Ауэзов Мухтар Омарханович (р. 1897) - писатель и учёный. Национальность?|казах
Башня Московского Кремля XVI в.|Кутафья
Башня Московского Кремля.|Арсенальная
Башня Московского Кремля.|Набатная
Башня Московского Кремля.|Оружейная
Башня Московского Кремля.|Спасская
Башня Московского Кремля.|Царская
Бельгийский писатель, автор романа «Семья Метсирс».|Клаус
Бельгия, провинция.|Антверпен
Библейский персонаж|Адам
Библейский персонаж|Ной
Библейский термин.|Рай
Биологический термин.|вид
Биологический термин.|род
Бирманский писатель, автор романа «Жасмин».|Ула
Благородный олень.|изюбрь
Благородный олень.|колар
Ближневосточная, персидская династия.|Буид
Блохин по гороскопу.|Дракон
Блюдо грузинской кухни.|сациви
Боевое искусство.|цигун
Боевое искусство.|шубаку
Болгарская династия.|Кобург
Болгарская киностудия.|Бояна
Болгарский писатель и искусствовед, автор романа «Только для мужчин».|Райнов
Болгарский писатель, автор романа «Железный светильник».|Талев
Болгарский писатель, автор серии детективных романов о разведчике Боеве.|Райнов
Болезнь.|ишиас
Болезнь.|корь
Болезнь.|чума
Болезнь.|язва
Болотная птица подотряда ржанкообразных с длинным клювом и длинными ногами.|кулик
Болотная птица с длинным клювом.|бекас
Болотная птица с очень длинным клювом, пестрой спинкой и с белыми брюшком и грудью.|бекас
Болотная трава, лекарственное растение.|осока
Болотное травянистое растение, вид папоротника.|листовик
Большой город в Северной Африке.|Каир
Борзая собака.|афган
Борзая собака.|хорт
Боспорская династия.|Археанактид
Бразильская, португальская династии.|Браганса
Буква греческого алфавита.|альфа
Буква греческого алфавита.|арес
Буква греческого алфавита.|бэта
Буква греческого алфавита.|зета
Буква греческого алфавита.|икс
Буква греческого алфавита.|иота
Буква греческого алфавита.|ипсилон
Буква греческого алфавита.|йота
Буква греческого алфавита.|каппа
