«Не уличена – не гулена». А как начинается эта пословица?|Не пойман – не вор
15 июня 1615 года в Тихий океан отплыли с острова Тексел голландский купец Лемер и капитан Ван Схоутен. Но путь через Магелланов пролив испанцы для них закрыли, поэтому экспедиция прошла мимо него и обнаружила еще один пролив. Взяв курс сначала на юго-запад, потом на запад, капитан Ван Схоутен миновал южный мыс маленького острова, у которого он и вспомнил о своем родном городке. В каком же городе родился капитан Виллем Ван Схоутен?|Горн
21 августа 3 года до н.э. Октавиан Август впервые был избран консулом. С этого же времени все события стали датироваться «от начала правления Августа». Впоследствии это выражение сократилось до аббревиатуры. Какой (Ab exordio regni Augusti)?|эра
Абд аль-Уззе, прозванному мусульманами Абу Лахабом, было предопределено гореть в аду. А вот какую неблаговидную роль должна была в аду выполнять его жена, Умм Джамиль?|подносить дрова
Альбер Камю пишет: «Именно потому трагедия разворачивается под знаком сумасшествия. Души преданы пляске демонов. В итоге – не меньше четырех безумцев (один по ремеслу, другой по своей воле, еще двое из-за мучений): четыре необузданных тела, четыре невыносимых лика одного и того же удела.» Назовите произведение, о котором писал Камю.|Король Лир
Американский политик Фрэнк Манкевич предупреждал, что политик, который ставит себе в заслугу дождь, будет обвинен в этом. В чем же?|в засухе
Англичане заметили, что весной сперва у этого растения появляются желтые соцветия – корзинки, а потом уже разворачиваются округло-сердцевидные листья с крупными зубцами по краю. Потому они и прозвали его «son-before-father» («сын раньше отца»). А как его зовут в России, где заметили контраст между нежной, мягкой нижней поверхностью листьев и холодной гладкой верхней?|мать-и-мачеха
Англичане считают, что даже после длительной тренировки они не смогут выговорить правильно эту русскую фразу. В лучшем случае у них получится что-то вроде «желто-голубой автобус» (jellow-blue bus). А что это за фраза?|Я люблю вас
Антонио Сальери
Белинский считал её краеугольным камнем человеческой мудрости. Шопенгауэр называл ее внешней совестью. Шиллер считал, что она дороже жизни. Филдинг говорил, что она не терпит неправду. А о чем идет речь?|о чести
Благодаря арабам этот экзотический фрукт стал широко распространяться по Европе, хотя еще римляне были знакомы с ним и называли «пунийским яблоком». А из какого иберийского эмирата этот плод начал свой путь ко дворам европейских монархов?|из Гренады
Будущего отца египтологии юного Жана Франсуа Шампольона всегда интересовали самые отдаленные вопросы и различные науки. В 12 лет он создал свою первую книгу под названием: «Хронология от Адама до...» Кого же?|Шампольона
В 1303 году в Риме эдиктом папы Бонифация VIII было основано некое учреждение, получившее название Sapienza, ставшее филиалом аналогичного учреждения в Болонье. Что это за учреждение?|университет
В 1351 году на балу, данном английским королем Эдуардом III по случаю победы над шотландцами, прекрасная графиня Солсбери потеряла маленькую принадлежность своего туалета. Какое событие произошло вследствие этого вроде бы незаметного и незначительного происшествия?|учрежден Орден Подвязки
В 153 году до н.э. римское посольство отправилось в Карфаген. Увидев процветание этого города, глава посольства пришел в ужас и вернулся домой с неким твердым убеждением. Как его звали?|Марк Порций Катон
В 1544 году в Падуе наконец-то открылся этот театр со всеевропейской славой. Построен он был в форме овального помещения с несколькими ярусами для зрителей. Хотя любознательные зрители охотно посещали его, ни один из корифеев европейской сцены не стремился на его подмостки – скорей наоборот. Потому что театр был ...?|анатомический
В 1762 году немецкий ученый Дитцель вывез из России двух детей – мальчика и девочку по имени Августа. Фамилия мальчика была Дараган. А под какой фамилией вернулась в Россию девочка?|Тараканова
В 1783 году Людовик XVI вызывает их из Аннона в Париж, жалует дворянский титул и герб с девизом «Так поднимаются к звездам». А как это планировали сделать жители Аннона?|на воздушном шаре
В 1794 году женщины на балах носили тонкие красные ленточки. А где в соответствии с черным юмором тех дней они носили эти украшения (символ гильотины)?|на шее
В 1816 году работавший на износ над составлением коптского словаря Шампольон писал своему брату: «Мой коптский словарь становится с каждым днем все толще...» А его составитель?|все тоньше
В 1867 году американский топограф Шоулз изобрел пишущую машинку. Но средств для продолжения экспериментов у него не хватило, и он продал патенты владельцу машиностроительной фабрики. Назовите его фамилию.|Ремингтон
